name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
10002,2023-07-18,28.7,23.1,25.7,32.3,23.1,26.1,21.3,77.3,1.006,100,12.5,rain,0,0,64.8,27.1,221.4,1014.2,20.8,14.8,133.7,11.5,6,60,2023-07-18T05:39:56,2023-07-18T20:24:07,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-07-19,27.6,23.3,24.6,29.4,23.3,24.7,19.6,73.7,0.315,100,8.33,rain,0,0,77.8,23.3,246.9,1016.2,44.8,13.3,123.7,10.6,6,60,2023-07-19T05:40:46,2023-07-19T20:23:25,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-07-20,29.8,22.8,26,30.3,22.8,26.1,18.5,65.9,0.4,100,8.33,rain,0,0,76,14.1,161.3,1014.9,24.6,13.3,237.7,20.6,9,30,2023-07-20T05:41:36,2023-07-20T20:22:41,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-07-21,30.7,22.7,26,32.2,22.7,26.5,19.4,68.6,1.248,100,16.67,rain,0,0,78.2,18.7,243.7,1008.2,48.1,15.5,255.2,22.2,10,30,2023-07-21T05:42:27,2023-07-21T20:21:55,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-07-22,29.6,21.6,25.6,28.8,21.6,25.4,14.9,53,0.805,100,8.33,rain,0,0,90.7,14.5,307,1009,9,15.9,280.7,24.3,10,10,2023-07-22T05:43:19,2023-07-22T20:21:07,0.16,Rain,Clear conditions throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-07-23,32.1,22.5,26.4,31.7,22.5,26.5,16.1,54.2,0,0,0,,0,0,66.6,12.9,216,1014.2,11,16,281,24.2,10,10,2023-07-23T05:44:12,2023-07-23T20:20:18,0.2,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-07-24,29.3,23.5,25.9,30.3,23.5,26.2,18.1,62.7,0,0,0,,0,0,59,15.3,218.6,1018.9,5.5,15.7,232.6,20.1,9,30,2023-07-24T05:45:05,2023-07-24T20:19:27,0.23,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-07-25,29.8,21.6,24.3,32,21.6,24.8,19.3,74.3,2.5,100,16.67,rain,0,0,70.2,19.2,233.1,1018.4,25.1,15,202,17.2,9,30,2023-07-25T05:45:58,2023-07-25T20:18:34,0.25,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-07-26,30.1,20.6,25.2,31.6,20.6,25.8,18.7,68.6,0.2,100,4.17,rain,0,0,72.3,15.3,236.2,1018.6,3.9,15.6,288.5,24.8,9,10,2023-07-26T05:46:52,2023-07-26T20:17:40,0.3,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-07-27,32.3,23.9,28.3,37.4,23.9,30.6,21.9,69.4,0.797,100,12.5,rain,0,0,91.7,26.2,253.4,1014.4,41.3,15.4,208.6,18,9,60,2023-07-27T05:47:47,2023-07-27T20:16:44,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-07-28,33.2,24.9,28.8,36.2,24.9,30.4,21.4,65.5,0.2,100,4.17,rain,0,0,31.7,17.1,271.2,1014.8,25,15.7,277.8,23.9,10,30,2023-07-28T05:48:42,2023-07-28T20:15:46,0.36,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-07-29,31.2,24.3,27.4,34.4,24.3,28.7,21,68.9,0.222,100,8.33,rain,0,0,56.7,23.9,253.5,1009,34.8,15.6,261.2,22.7,8,30,2023-07-29T05:49:38,2023-07-29T20:14:46,0.4,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-07-30,28,19.3,23.6,27.5,19.3,23.5,13.2,53.8,0,0,0,,0,0,45.6,14.4,305.6,1013,27.3,16,267.9,23.2,10,10,2023-07-30T05:50:34,2023-07-30T20:13:45,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-07-31,27.9,20.5,24.2,27.4,20.5,24.2,13,50.1,0.4,100,8.33,rain,0,0,92.5,15.5,245,1015,22.3,15.9,267.7,23.1,10,30,2023-07-31T05:51:30,2023-07-31T20:12:43,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-01,26.9,20.7,23.9,26.6,20.7,23.8,11.5,47.4,0,0,0,rain,0,0,29.5,17,12.7,1019.6,36,15.9,294.8,25.4,10,10,2023-08-01T05:52:27,2023-08-01T20:11:39,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-02,27,20.2,23.1,26.6,20.2,23.1,11,47.5,0.4,100,8.33,rain,0,0,85.3,14.9,60.2,1022.7,17,16,271,23.4,10,10,2023-08-02T05:53:24,2023-08-02T20:10:33,0.53,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-03,26.2,19.9,22.7,26.2,19.9,22.7,14.3,59.3,0.2,100,4.17,rain,0,0,63,26.3,206.1,1019.7,32,15.9,241.8,21.1,8,10,2023-08-03T05:54:21,2023-08-03T20:09:26,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-04,24.4,21.7,22.9,24.4,21.7,22.9,17.8,73.2,0.2,100,4.17,rain,0,0,77.8,18.6,225.6,1014.8,95.5,15.9,86.9,7.5,4,30,2023-08-04T05:55:19,2023-08-04T20:08:17,0.6,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-05,29.3,21.7,25.4,29.5,21.7,25.4,17,62.1,0,0,0,,0,0,18.4,15.5,301.5,1014.5,38.7,15.6,140.8,12.1,9,30,2023-08-05T05:56:17,2023-08-05T20:07:07,0.63,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-06,29.1,22.6,25.6,29.4,22.6,25.6,15.7,55,0,0,0,,0,0,68.4,15.5,141.7,1016,6,15.9,0,0,0,10,2023-08-06T05:57:15,2023-08-06T20:05:56,0.67,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-07,27.1,20.1,23.8,29,20.1,24,20.7,83.1,4.915,100,37.5,rain,0,0,40.7,22.7,198.3,1011.8,90.3,13.9,166.3,14.4,10,30,2023-08-07T05:58:13,2023-08-07T20:04:43,0.7,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
10002,2023-08-08,26.6,21.6,23.7,26.6,21.6,23.7,18.3,72.8,0.041,100,4.17,rain,0,0,70.9,29.4,259.1,1004.6,85.8,16,207.6,17.8,10,10,2023-08-08T05:59:11,2023-08-08T20:03:29,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
