name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
10002,2023-10-26T00:00:00,65.1,65.1,47.6,53.16,0,0,,0,0,10.3,8.7,268,1024.3,4.7,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-10-26T01:00:00,64.3,64.3,46.7,52.94,0,0,,0,0,9.2,7.7,268,1024.2,2.7,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-10-26T02:00:00,64,64,46.9,53.72,0,0,,0,0,8.1,7.2,262,1024.1,2.7,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-10-26T03:00:00,62.1,62.1,47.5,58.82,0,0,,0,0,8.1,5.4,265,1023.9,2.7,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-10-26T04:00:00,60.5,60.5,48.3,64.06,0,0,,0,0,8.1,5.2,254,1023.5,2.7,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-10-26T05:00:00,60.3,60.3,49.3,66.94,0,0,,0,0,9.2,4.2,222,1023.7,2.7,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-10-26T06:00:00,60.2,60.2,49.3,67.36,0,0,,0,0,9.2,5.3,269,1024,2.7,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-10-26T07:00:00,59.2,59.2,49.4,69.98,0,0,,0,0,8.1,6.1,283,1024.2,2.7,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-10-26T08:00:00,58.9,58.9,49.6,71.24,0,0,,0,0,8.1,5.9,274,1024.5,2.7,9.9,81,0.3,1,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-10-26T09:00:00,60.6,60.6,50.7,69.64,0,0,,0,0,42.5,5.6,0,1025.1,2.7,9.9,246,0.9,2,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-10-26T10:00:00,62.7,62.7,51.3,66.45,0,0,,0,0,6.9,4.1,304,1025,2.7,9.9,441,1.6,4,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-10-26T11:00:00,67.1,67.1,50.7,55.55,0,0,,0,0,40.3,4.1,292,1024.8,2.7,9.9,561,2,6,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
