name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
10002,2024-04-07T00:00:00,46.3,43.2,30.3,53.44,0,0,,0,0,23.2,6.1,33,1014.5,57.4,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T01:00:00,45,39.6,29.4,54.13,0,0,,0,0,19.1,10.4,49,1015,90.9,9.9,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T02:00:00,45,45,29.4,54.27,0,0,,0,0,21.9,0.6,1,1015.1,99,9.9,0,0,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T03:00:00,44.8,44.8,28.7,53.13,0,0,,0,0,20.8,0.9,350,1014.9,28.8,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T04:00:00,44.1,44.1,28.7,54.52,0,0,,0,0,20.8,0.4,358,1015.2,67.7,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T05:00:00,44.1,40.9,29.6,56.63,0,0,,0,0,18.3,5.5,297,1015.6,57.4,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T06:00:00,43.1,39,30.5,60.76,0,0,,0,0,18.3,6.8,286,1016,6.4,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T07:00:00,44.1,42,31.6,61.36,0,0,,0,0,19.5,4,360,1017,99,9.9,16,0.1,0,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T08:00:00,44.2,44.2,32.7,63.75,0,0,,0,0,20.8,1.3,2,1017.7,99,9.9,63,0.2,1,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T09:00:00,45.3,43,33.2,62.47,0,0,,0,0,18.9,4.6,238,1017.9,96.3,9.9,492,1.8,5,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T10:00:00,48.2,44.7,31.3,51.95,0,0,,0,0,26.7,7.7,12,1018.2,87,9.9,165,0.6,2,10,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T11:00:00,49,46.9,31.3,50.13,0,0,,0,0,27.1,5.3,350,1018.5,96.3,9.9,1002,3.6,10,10,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T12:00:00,52,52,29.4,41.56,0,0,,0,0,22.9,5.6,10,1018.4,88.3,9.9,327,1.2,3,10,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T13:00:00,55,55,29.4,37.41,0,0,,0,0,22.6,5.2,10,1018,11.6,9.9,948,3.4,9,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T14:00:00,56.3,56.3,29,35.04,0,0,,0,0,19.7,7.3,29,1017.9,57.4,9.9,297,1.1,3,10,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T15:00:00,57.7,57.7,30.4,35.33,0,0,,0,0,22.6,6.5,24,1017.7,79,9.9,795,2.9,8,10,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T16:00:00,58.8,58.8,30.3,33.72,0,0,,0,0,18.3,8.5,72,1017.4,43.2,9.9,626,2.3,6,10,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T17:00:00,58.7,58.7,30.1,33.61,0,0,,0,0,26.9,13.7,34,1017.4,2.7,9.9,410,1.5,4,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T18:00:00,59.6,59.6,30.9,33.61,0,0,,0,0,18,9.4,54,1017.9,1.4,9.9,197,0.7,2,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T19:00:00,58.4,58.4,29.9,33.67,0,0,,0,0,12.8,7.5,52,1018.3,1.4,9.9,16,0.1,0,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T20:00:00,52.7,52.7,35.8,52.6,0,0,,0,0,9.2,6.5,263,1019.1,1.4,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T21:00:00,48.4,46.3,38,67.23,0,0,,0,0,9.2,5.1,188,1019.9,1.4,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T22:00:00,46.5,44.1,36.9,68.84,0,0,,0,0,8.1,5.1,230,1020.3,0,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-07T23:00:00,46.5,46.5,35.9,66.34,0,0,,0,0,8.1,0.2,343,1020.8,0,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-08T00:00:00,46.5,45.3,34.7,63.36,0,0,,0,0,8.1,3.4,262,1021.4,0,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-08T01:00:00,46.3,43.1,34.8,63.96,0,0,,0,0,8.1,6.4,263,1021.6,0,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-08T02:00:00,46.3,43.3,34.9,64.09,0,0,,0,0,8.1,6,266,1021.5,0,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-08T03:00:00,45.3,42.4,34.6,65.81,0,0,,0,0,8.1,5.5,264,1021.5,0,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-08T04:00:00,45.2,42.5,35.1,67.63,0,0,,0,0,6.9,5,289,1021.3,0,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-08T05:00:00,44.3,40,33.7,65.96,0,0,,0,0,8.1,7.8,280,1021.5,0,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-08T06:00:00,44,44,32.2,62.77,0,0,,0,0,8.1,0.3,358,1021.6,0,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-08T07:00:00,44.2,44.2,29.1,55.2,0,0,,0,0,8.1,0.5,340,1022.1,1.4,9.9,25,0.1,0,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-08T08:00:00,46.1,42.2,27.9,48.87,0,0,,0,0,6.9,7.5,264,1022.7,2.7,9.9,188,0.7,2,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-08T09:00:00,49.8,48,27.7,42.15,0,0,,0,0,6.9,5,300,1022.8,4.7,9.9,504,1.8,5,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-08T10:00:00,53.9,53.9,29.5,38.95,0,0,,0,0,6.9,5.4,244,1022.8,4.7,9.9,587,2.1,6,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-08T11:00:00,55.4,55.4,31.9,40.62,0,0,,0,0,6.9,6.3,236,1022.7,4.7,9.9,816,2.9,8,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-08T12:00:00,58.3,58.3,26,28.73,0,0,,0,0,6.9,3.6,236,1022.3,4.7,9.9,761,2.7,8,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-08T13:00:00,61.5,61.5,25.7,25.39,0,0,,0,0,8.1,3.7,287,1021.8,4.7,9.9,919,3.3,9,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-04-08T14:00:00,63.5,63.5,20.2,18.78,0,0,,0,0,8.1,0.6,0,1020.9,4.7,9.9,970,3.5,10,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
