name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
10002,2024-07-01T00:00:00,72,72,60.7,67.5,0,0,,0,0,21.9,4.3,320,1013.1,88.3,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2024-07-01T01:00:00,70.1,70.1,55.8,60.44,0,0,,0,0,25.3,1.2,355,1013,84.6,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
10002,2024-07-01T02:00:00,69.2,69.2,53.5,57.37,0,0,,0,0,20.8,5.1,320,1013,27.5,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
10002,2024-07-01T03:00:00,66.7,66.7,53.6,62.73,0,0,,0,0,34.4,4.2,320,1013.8,25.1,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
10002,2024-07-01T04:00:00,65.8,65.8,53.6,64.72,0,0,,0,0,19.5,1.1,355,1014.3,1.4,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
10002,2024-07-01T05:00:00,64.9,64.9,54.7,69.48,0,0,,0,0,19.5,6.4,272,1014.8,1.4,9.9,0,0,0,10,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
10002,2024-07-01T06:00:00,64.9,64.9,54.7,69.62,0,0,,0,0,19.5,1.6,354,1015,1.4,9.9,28,0.1,0,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
10002,2024-07-01T07:00:00,65.1,65.1,55.5,71.19,0,0,,0,0,18.3,5.8,261,1015.1,1.4,9.9,196,0.7,2,10,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
10002,2024-07-01T08:00:00,66.9,66.9,55.8,67.53,0,0,,0,0,20.8,7.4,330,1015.6,55.3,9.9,405,1.5,4,10,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
10002,2024-07-01T09:00:00,70.1,70.1,56.7,62.58,0,0,,0,0,40.3,5.2,330,1015.9,83.4,9.9,601,2.2,6,10,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
10002,2024-07-01T10:00:00,73.6,73.6,56.6,55.31,0,0,,0,0,25.6,7.6,360,1016.1,25.1,9.9,806,2.9,8,10,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
10002,2024-07-01T11:00:00,74.4,74.4,57.4,55.41,0,0,,0,0,27,6.3,360,1017,87,9.9,1006,3.6,10,10,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
10002,2024-07-01T12:00:00,76.4,76.4,56.9,50.82,0,0,,0,0,29.2,4.1,10,1017.1,87.3,9.9,235,0.8,2,10,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
10002,2024-07-01T13:00:00,77.9,77.9,56.6,47.94,0,0,,0,0,23.8,8.2,113,1017.2,31.9,9.9,1026,3.7,10,10,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
10002,2024-07-01T14:00:00,79.8,79.8,56.6,45.08,0,0,,0,0,29.4,7.2,40,1016.9,25.1,9.9,998,3.6,10,10,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
