name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
10002,2023-01-11T00:00:00,39.2,35,24.2,54.56,0,0,,0,0,8.1,5.6,36,1020,100,9.9,220,0.8,0,10,Overcast,cloudy,"72505394728,KLGA,D2180,KNYC,72503014732"
10002,2023-01-11T01:00:00,38.9,33.3,25.1,57.2,0,0,,0,0,8.1,8.1,47,1020.2,100,9.9,220,0.8,0,10,Overcast,cloudy,"72505394728,KLGA,D2180,KNYC,72503014732"
10002,2023-01-11T02:00:00,38.7,33,25.5,58.91,0,0,,0,0,9.2,7.9,70,1020.3,100,9.9,220,0.8,0,10,Overcast,cloudy,"72505394728,KLGA,D2180,KNYC,72503014732"
10002,2023-01-11T03:00:00,37.8,31.7,25.2,60.18,0,0,,0,0,9.2,8.4,77,1021.3,100,9.9,220,0.8,0,10,Overcast,cloudy,"72505394728,KLGA,D2180,KNYC,72503014732"
10002,2023-01-11T04:00:00,36.8,30.6,23.5,58.26,0,0,,0,0,9.2,8.2,57,1021.8,100,9.9,220,0.8,0,10,Overcast,cloudy,"72505394728,KLGA,D2180,KNYC,72503014732"
10002,2023-01-11T05:00:00,36.8,31.2,22.4,55.62,0,0,,0,0,9.2,7.1,26,1022.3,100,9.9,220,0.8,0,10,Overcast,cloudy,"72505394728,KLGA,D2180,KNYC,72503014732"
10002,2023-01-11T06:00:00,35.7,28.3,20.7,53.95,0,0,,0,0,18.3,10.2,57,1021.8,100,9.9,219,0.8,0,10,Overcast,cloudy,"72505394728,KLGA,D2180,KNYC,72503014732"
10002,2023-01-11T07:00:00,35.1,26.9,21.2,56.56,0,0,,0,0,13.9,11.3,57,1022.5,100,9.9,1,0,0,10,Overcast,cloudy,"72505394728,KLGA,F8726,KNYC,72503014732"
10002,2023-01-11T08:00:00,35.1,28.3,21.8,58.13,0,0,,0,0,11.4,8.6,70,1023.5,100,9.9,16,0.1,0,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
10002,2023-01-11T09:00:00,35.7,28.6,22.4,58.05,0,0,,0,0,10.3,9.5,53,1023.7,96.9,9.9,71,0.3,1,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
10002,2023-01-11T10:00:00,36.3,30.3,21.8,55.37,0,0,,0,0,9.2,7.6,50,1024.7,100,9.9,119,0.4,1,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
10002,2023-01-11T11:00:00,36.8,31.8,22.2,55.03,0,0,,0,0,8.1,6.3,40,1024.7,96.9,9.9,164,0.6,2,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
10002,2023-01-11T12:00:00,37.8,32.4,21.2,50.84,0,0,,0,0,6.9,7.1,40,1024.4,96.9,9.9,171,0.6,2,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
10002,2023-01-11T13:00:00,38.4,33.2,21.2,49.57,0,0,,0,0,5.8,7.1,40,1023.8,96.9,9.9,197,0.7,2,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
10002,2023-01-11T14:00:00,38.7,34.2,20.3,47.24,0,0,,0,0,5.8,6,50,1023.4,96.9,9.9,201,0.7,2,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
10002,2023-01-11T15:00:00,38.9,34.4,19.8,45.77,0,0,,0,0,6.9,6.1,69,1023.7,96.9,9.9,122,0.4,1,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
10002,2023-01-11T16:00:00,38,32.3,19.8,47.41,0,0,,0,0,6.9,7.7,96,1023.8,92,9.9,59,0.2,1,10,Overcast,cloudy,"72505394728,KLGA,F1417,KNYC,72503014732"
10002,2023-01-11T17:00:00,38,32.3,20,47.93,0,0,,0,0,8.1,7.9,79,1023.9,28.2,9.9,12,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KLGA,F1417,KNYC,72503014732"
10002,2023-01-11T18:00:00,37.6,33.4,19.8,48.15,0,0,,0,0,8.1,5.3,63,1024.6,25,9.9,16,0.1,0,10,Partially cloudy,partly-cloudy-night,"72505394728,E5816,KLGA,KNYC,72503014732"
10002,2023-01-11T19:00:00,38,32.3,21.2,50.34,0,0,,0,0,10.3,7.9,70,1024.4,25,9.9,220,0.8,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KLGA,D2180,KNYC,72503014732"
10002,2023-01-11T20:00:00,37.6,37.6,23.8,57.16,0,0,,0,0,10.3,2.9,40,1024.6,20.4,9.9,220,0.8,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KLGA,D2180,KNYC,72503014732"
10002,2023-01-11T21:00:00,37.1,31.9,24.8,60.74,0,0,,0,0,10.3,6.6,106,1024.3,44.5,9.9,220,0.8,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KLGA,D2180,KNYC,72503014732"
10002,2023-01-11T22:00:00,37.1,31.2,25.8,63.26,0,0,,0,0,10.3,7.9,104,1024.5,96.9,9.9,220,0.8,0,10,Overcast,cloudy,"72505394728,KLGA,D2180,KNYC,72503014732"
10002,2023-01-11T23:00:00,37.5,33.8,25.5,61.81,0,0,,0,0,8.1,4.7,104,1024.7,100,9.9,220,0.8,0,10,Overcast,cloudy,"72505394728,KLGA,D2180,KNYC,72503014732"
10002,2023-01-12T00:00:00,36.8,31.1,26.4,65.81,0,0,,0,0,6.9,7.2,67,1024.2,100,9.9,218,0.8,0,10,Overcast,cloudy,"72505394728,KLGA,D2180,KNYC,72503014732"
10002,2023-01-12T01:00:00,37.8,33.9,26.4,63.34,0,0,,0,0,6.9,5,80,1023.8,100,9.9,218,0.8,0,10,Overcast,cloudy,"72505394728,KLGA,D2180,KNYC,72503014732"
10002,2023-01-12T02:00:00,38,34.4,27.8,66.35,0,0,,0,0,6.9,4.7,80,1023.5,100,9.9,220,0.8,0,10,Overcast,cloudy,"72505394728,KLGA,D2180,KNYC,72503014732"
10002,2023-01-12T03:00:00,38.7,34.3,29.1,68.21,0,0,,0,0,6.9,5.8,56,1022.9,100,9.9,220,0.8,0,10,Overcast,cloudy,"72505394728,KLGA,D2180,KNYC,72503014732"
